['PTS'] : -0.49259875718175133 ,
['FGM'] : 0.19513452044125132 ,
['FGA'] : 0.14222373226465795 ,
['FTM'] : -0.07877815692962932 ,
['FTA'] : 0.04783250841376069 ,
['REB'] : 0.04180886841906709 ,
['AST'] : 0.43983693192172224 ,
['STL'] : 0.5267016327613727 ,
['BLK'] : 0.6879988661837046 ,
['TO'] : 0.29191741929108267 ,
['Win'] : -0.19507697442276756 ,
['PTS', 'FGM'] : -0.05122754517166064 ,
['PTS', 'FGA'] : -0.4235053885112319 ,
['PTS', 'FTM'] : -0.11185244210768218 ,
['PTS', 'FTA'] : -0.2529525033431212 ,
['PTS', 'REB'] : -0.27548988678431297 ,
['PTS', 'AST'] : -0.10250415957720233 ,
['PTS', 'STL'] : -0.1526144899704381 ,
['PTS', 'BLK'] : 0.07508441643327766 ,
['PTS', 'TO'] : -0.23541697035068992 ,
['PTS', 'Win'] : -0.45347447941696445 ,
['FGM', 'FGA'] : -0.08666107743705044 ,
['FGM', 'FTM'] : -0.15949520276276194 ,
['FGM', 'FTA'] : 0.003251078496749903 ,
['FGM', 'REB'] : -0.060131747987936635 ,
['FGM', 'AST'] : 0.06809934961720861 ,
['FGM', 'STL'] : -0.00733639988004403 ,
['FGM', 'BLK'] : 0.1368052775357819 ,
['FGM', 'TO'] : -0.09515709017496415 ,
['FGM', 'Win'] : 0.2158665290045266 ,
['FGA', 'FTM'] : -0.13834666519290567 ,
['FGA', 'FTA'] : -0.3149441933133233 ,
['FGA', 'REB'] : -0.02085289223880307 ,
['FGA', 'AST'] : -0.054183113612253364 ,
['FGA', 'STL'] : -0.1367530131717305 ,
['FGA', 'BLK'] : 0.08412508834448025 ,
['FGA', 'TO'] : -0.4644107308997432 ,
['FGA', 'Win'] : 0.14279629296191684 ,
['FTM', 'FTA'] : -0.2677146260608102 ,
['FTM', 'REB'] : -0.02633492870670381 ,
['FTM', 'AST'] : 0.0811670254935723 ,
['FTM', 'STL'] : 0.03870469195277476 ,
['FTM', 'BLK'] : 0.30025989071431 ,
['FTM', 'TO'] : -0.05679918993666523 ,
['FTM', 'Win'] : 0.22669058932636013 ,
['FTA', 'REB'] : -0.09496380292472324 ,
['FTA', 'AST'] : -0.08315083887394721 ,
['FTA', 'STL'] : -0.3577561941126798 ,
['FTA', 'BLK'] : 0.14188510942815713 ,
['FTA', 'TO'] : -0.12796599615764737 ,
['FTA', 'Win'] : 0.3876012927495472 ,
['REB', 'AST'] : 0.000612331283718542 ,
['REB', 'STL'] : 0.044196755006101006 ,
['REB', 'BLK'] : 0.015630088286749687 ,
['REB', 'TO'] : -0.14591284064868476 ,
['REB', 'Win'] : -0.09581742965199813 ,
['AST', 'STL'] : 0.2674723836797298 ,
['AST', 'BLK'] : 0.177343985481909 ,
['AST', 'TO'] : -0.18551708261869354 ,
['AST', 'Win'] : 0.41292907885695784 ,
['STL', 'BLK'] : 0.1718313535207497 ,
['STL', 'TO'] : 0.11393630216453615 ,
['STL', 'Win'] : 0.6500343669148315 ,
['BLK', 'TO'] : 0.3379947341081845 ,
['BLK', 'Win'] : 0.7136990338844537 ,
['TO', 'Win'] : 0.35498192333995987 ,
['PTS', 'FGM', 'FGA'] : -0.2566247128013881 ,
['PTS', 'FGM', 'FTM'] : -0.5542035116630236 ,
['PTS', 'FGM', 'FTA'] : -0.4398462360454953 ,
['PTS', 'FGM', 'REB'] : -0.40446325840727104 ,
['PTS', 'FGM', 'AST'] : -0.3161904002548659 ,
['PTS', 'FGM', 'STL'] : -0.18518254032651368 ,
['PTS', 'FGM', 'BLK'] : -0.15008912327762441 ,
['PTS', 'FGM', 'TO'] : -0.6031525222637812 ,
['PTS', 'FGM', 'Win'] : -0.05768140157966156 ,
['PTS', 'FGA', 'FTM'] : -0.5977505580694821 ,
['PTS', 'FGA', 'FTA'] : -0.5339812690541509 ,
['PTS', 'FGA', 'REB'] : -0.5760659145282678 ,
['PTS', 'FGA', 'AST'] : -0.5484944898193804 ,
['PTS', 'FGA', 'STL'] : -0.5971134372414788 ,
['PTS', 'FGA', 'BLK'] : -0.480320150107833 ,
['PTS', 'FGA', 'TO'] : -0.46411661456249964 ,
['PTS', 'FGA', 'Win'] : -0.25037653423456535 ,
['PTS', 'FTM', 'FTA'] : -0.3298151318927408 ,
['PTS', 'FTM', 'REB'] : -0.39400212601905366 ,
['PTS', 'FTM', 'AST'] : -0.2503537104762009 ,
['PTS', 'FTM', 'STL'] : -0.25461393985003694 ,
['PTS', 'FTM', 'BLK'] : -0.21274983529070085 ,
['PTS', 'FTM', 'TO'] : -0.4055890659418779 ,
['PTS', 'FTM', 'Win'] : -0.11768006297504903 ,
['PTS', 'FTA', 'REB'] : -0.45645978916226604 ,
['PTS', 'FTA', 'AST'] : -0.40095131928899663 ,
['PTS', 'FTA', 'STL'] : -0.38872804612774053 ,
['PTS', 'FTA', 'BLK'] : -0.29185987142588427 ,
['PTS', 'FTA', 'TO'] : -0.14905873108886103 ,
['PTS', 'FTA', 'Win'] : -0.17383913576919977 ,
['PTS', 'REB', 'AST'] : -0.5461589333289325 ,
['PTS', 'REB', 'STL'] : -0.45805968455226964 ,
['PTS', 'REB', 'BLK'] : -0.44875019090084556 ,
['PTS', 'REB', 'TO'] : -0.44061984608212684 ,
['PTS', 'REB', 'Win'] : -0.35091125425881403 ,
['PTS', 'AST', 'STL'] : -0.3713056311883127 ,
['PTS', 'AST', 'BLK'] : -0.28428112071084183 ,
['PTS', 'AST', 'TO'] : -0.21605745860144904 ,
['PTS', 'AST', 'Win'] : -0.0972305023737269 ,
['PTS', 'STL', 'BLK'] : -0.2662727336023009 ,
['PTS', 'STL', 'TO'] : -0.4102001447414321 ,
['PTS', 'STL', 'Win'] : -0.09936862384478118 ,
['PTS', 'BLK', 'TO'] : -0.27851421141467225 ,
['PTS', 'BLK', 'Win'] : -0.14981404493672715 ,
['PTS', 'TO', 'Win'] : -0.2651691226002972 ,
['FGM', 'FGA', 'FTM'] : -0.2903469043289823 ,
['FGM', 'FGA', 'FTA'] : -0.404210727013016 ,
['FGM', 'FGA', 'REB'] : -0.44912107942674334 ,
['FGM', 'FGA', 'AST'] : -0.18280874492578897 ,
['FGM', 'FGA', 'STL'] : -0.20579999440424568 ,
['FGM', 'FGA', 'BLK'] : -0.04378980391868242 ,
['FGM', 'FGA', 'TO'] : -0.13177659962269309 ,
['FGM', 'FGA', 'Win'] : -0.05904005233126976 ,
['FGM', 'FTM', 'FTA'] : -0.09291776616786078 ,
['FGM', 'FTM', 'REB'] : -0.20483651252772808 ,
['FGM', 'FTM', 'AST'] : -0.125989456250354 ,
['FGM', 'FTM', 'STL'] : -0.20351136384925583 ,
['FGM', 'FTM', 'BLK'] : -0.26082352450604396 ,
['FGM', 'FTM', 'TO'] : -0.3071252679617383 ,
['FGM', 'FTM', 'Win'] : -0.07573459098165447 ,
['FGM', 'FTA', 'REB'] : -0.4459039548777158 ,
['FGM', 'FTA', 'AST'] : -0.32155497717012205 ,
['FGM', 'FTA', 'STL'] : -0.2639429558949627 ,
['FGM', 'FTA', 'BLK'] : -0.48818349699551694 ,
['FGM', 'FTA', 'TO'] : -0.3471814872006412 ,
['FGM', 'FTA', 'Win'] : -0.48214859281484196 ,
['FGM', 'REB', 'AST'] : -0.30031324505339163 ,
['FGM', 'REB', 'STL'] : -0.22959643820156503 ,
['FGM', 'REB', 'BLK'] : -0.1835297351616439 ,
['FGM', 'REB', 'TO'] : -0.4917015444706163 ,
['FGM', 'REB', 'Win'] : -0.05588318404194313 ,
['FGM', 'AST', 'STL'] : -0.11633451892010399 ,
['FGM', 'AST', 'BLK'] : -0.08191745102783517 ,
['FGM', 'AST', 'TO'] : -0.21671814794139366 ,
['FGM', 'AST', 'Win'] : 0.037958886197654834 ,
['FGM', 'STL', 'BLK'] : -0.04121900834845622 ,
['FGM', 'STL', 'TO'] : -0.14365461477715336 ,
['FGM', 'STL', 'Win'] : 0.009584880645649201 ,
['FGM', 'BLK', 'TO'] : -0.4933789419730225 ,
['FGM', 'BLK', 'Win'] : 0.041346764145515545 ,
['FGM', 'TO', 'Win'] : -0.056443281102511705 ,
['FGA', 'FTM', 'FTA'] : -0.27920281771390343 ,
['FGA', 'FTM', 'REB'] : -0.5028168313026468 ,
['FGA', 'FTM', 'AST'] : -0.35285017155996046 ,
['FGA', 'FTM', 'STL'] : -0.2696399018860319 ,
['FGA', 'FTM', 'BLK'] : -0.06977317473442655 ,
['FGA', 'FTM', 'TO'] : -0.27098397536156227 ,
['FGA', 'FTM', 'Win'] : -0.13637676799638612 ,
['FGA', 'FTA', 'REB'] : -0.5376762891715821 ,
['FGA', 'FTA', 'AST'] : -0.3243827392147616 ,
['FGA', 'FTA', 'STL'] : -0.4112902610139112 ,
['FGA', 'FTA', 'BLK'] : -0.4362531848291345 ,
['FGA', 'FTA', 'TO'] : -0.36659276332449664 ,
['FGA', 'FTA', 'Win'] : -0.42395143990090506 ,
['FGA', 'REB', 'AST'] : -0.5281071240588305 ,
['FGA', 'REB', 'STL'] : -0.45770927600980094 ,
['FGA', 'REB', 'BLK'] : -0.2848688394679592 ,
['FGA', 'REB', 'TO'] : -0.3572168849640562 ,
['FGA', 'REB', 'Win'] : 0.009111470210155933 ,
['FGA', 'AST', 'STL'] : -0.2666136298291309 ,
['FGA', 'AST', 'BLK'] : -0.1677531192468877 ,
['FGA', 'AST', 'TO'] : -0.5259316069607153 ,
['FGA', 'AST', 'Win'] : -0.0916428143215832 ,
['FGA', 'STL', 'BLK'] : -0.1993871546721052 ,
['FGA', 'STL', 'TO'] : -0.20140323132613266 ,
['FGA', 'STL', 'Win'] : -0.026292772586870912 ,
['FGA', 'BLK', 'TO'] : -0.08113937873700215 ,
['FGA', 'BLK', 'Win'] : -0.02994111889905547 ,
['FGA', 'TO', 'Win'] : -0.07058029242311528 ,
['FTM', 'FTA', 'REB'] : -0.2120766777037131 ,
['FTM', 'FTA', 'AST'] : -0.1415024561431886 ,
['FTM', 'FTA', 'STL'] : -0.06350535925344422 ,
['FTM', 'FTA', 'BLK'] : 0.01767414770274975 ,
['FTM', 'FTA', 'TO'] : -0.15492975737934522 ,
['FTM', 'FTA', 'Win'] : -0.25366271529975587 ,
['FTM', 'REB', 'AST'] : -0.26675943920080036 ,
['FTM', 'REB', 'STL'] : -0.33804123542186815 ,
['FTM', 'REB', 'BLK'] : -0.047672465991647754 ,
['FTM', 'REB', 'TO'] : -0.27798185231345723 ,
['FTM', 'REB', 'Win'] : 0.005931235254514442 ,
['FTM', 'AST', 'STL'] : -0.1925331784442838 ,
['FTM', 'AST', 'BLK'] : -0.08457230989426223 ,
['FTM', 'AST', 'TO'] : -0.14631032927800533 ,
['FTM', 'AST', 'Win'] : 0.0766784709377717 ,
['FTM', 'STL', 'BLK'] : 0.05284615660006711 ,
['FTM', 'STL', 'TO'] : -0.15787207354599672 ,
['FTM', 'STL', 'Win'] : 0.007462291236877308 ,
['FTM', 'BLK', 'TO'] : -0.07605745584334267 ,
['FTM', 'BLK', 'Win'] : 0.017899540857385307 ,
['FTM', 'TO', 'Win'] : -0.012633539299210825 ,
['FTA', 'REB', 'AST'] : -0.38690329557190056 ,
['FTA', 'REB', 'STL'] : -0.5111258205320252 ,
['FTA', 'REB', 'BLK'] : -0.09422814706076003 ,
['FTA', 'REB', 'TO'] : -0.4910856782637313 ,
['FTA', 'REB', 'Win'] : -0.11662698628240488 ,
['FTA', 'AST', 'STL'] : -0.24373348962330801 ,
['FTA', 'AST', 'BLK'] : -0.3994178021099002 ,
['FTA', 'AST', 'TO'] : -0.40130411603691796 ,
['FTA', 'AST', 'Win'] : -0.036676093729893534 ,
['FTA', 'STL', 'BLK'] : -0.2986847778055629 ,
['FTA', 'STL', 'TO'] : -0.08214600914904613 ,
['FTA', 'STL', 'Win'] : -0.5074964145822561 ,
['FTA', 'BLK', 'TO'] : -0.08001495068064865 ,
['FTA', 'BLK', 'Win'] : 0.22091137508240197 ,
['FTA', 'TO', 'Win'] : -0.122446136178242 ,
['REB', 'AST', 'STL'] : -0.19415536155132787 ,
